source_idx,target_idx,weight,source_type,target_type
9,73,0.233660,PN_GCDV,MBON_alpha3
9,74,-0.233660,PN_GCDV,MBON_gamma5beta2a
10,31,0.247811,PN_HSI,KC_cluster_11
10,32,0.315812,PN_HSI,KC_cluster_12
10,39,0.453559,PN_HSI,KC_cluster_19
10,41,0.181823,PN_HSI,KC_cluster_21
10,44,0.282421,PN_HSI,KC_cluster_24
10,54,0.282940,PN_HSI,KC_cluster_34
10,55,0.206703,PN_HSI,KC_cluster_35
10,57,0.317918,PN_HSI,KC_cluster_37
10,58,0.252147,PN_HSI,KC_cluster_38
10,62,0.348372,PN_HSI,KC_cluster_42
10,65,0.292013,PN_HSI,KC_cluster_45
10,68,0.376012,PN_HSI,KC_cluster_48
10,73,0.037948,PN_HSI,MBON_alpha3
10,74,-0.037948,PN_HSI,MBON_gamma5beta2a
10,75,0.034153,PN_HSI,MBON_beta2beta2a
11,20,0.131623,PN_RSV,KC_cluster_0
11,23,0.295325,PN_RSV,KC_cluster_3
11,40,0.306924,PN_RSV,KC_cluster_20
11,52,0.151062,PN_RSV,KC_cluster_32
11,53,0.167981,PN_RSV,KC_cluster_33
11,59,0.494780,PN_RSV,KC_cluster_39
11,73,0.171699,PN_RSV,MBON_alpha3
11,74,-0.171699,PN_RSV,MBON_gamma5beta2a
11,75,0.154529,PN_RSV,MBON_beta2beta2a
12,20,0.320403,PN_VSS,KC_cluster_0
12,26,0.162218,PN_VSS,KC_cluster_6
12,32,0.338016,PN_VSS,KC_cluster_12
12,41,0.422499,PN_VSS,KC_cluster_21
12,52,0.213491,PN_VSS,KC_cluster_32
12,59,0.103573,PN_VSS,KC_cluster_39
12,65,0.450896,PN_VSS,KC_cluster_45
12,69,0.386822,PN_VSS,KC_cluster_49
12,73,0.232297,PN_VSS,MBON_alpha3
12,74,-0.232297,PN_VSS,MBON_gamma5beta2a
12,75,0.209067,PN_VSS,MBON_beta2beta2a
13,31,0.354686,PN_ERC,KC_cluster_11
13,39,0.134101,PN_ERC,KC_cluster_19
13,40,0.260473,PN_ERC,KC_cluster_20
13,43,0.230088,PN_ERC,KC_cluster_23
13,48,0.413872,PN_ERC,KC_cluster_28
13,53,0.394380,PN_ERC,KC_cluster_33
13,54,0.410473,PN_ERC,KC_cluster_34
13,57,0.873485,PN_ERC,KC_cluster_37
13,65,0.328063,PN_ERC,KC_cluster_45
13,67,0.708684,PN_ERC,KC_cluster_47
13,73,0.042198,PN_ERC,MBON_alpha3
13,74,-0.042198,PN_ERC,MBON_gamma5beta2a
13,75,0.037978,PN_ERC,MBON_beta2beta2a
14,21,0.336673,PN_MCPE,KC_cluster_1
14,25,0.325258,PN_MCPE,KC_cluster_5
14,33,0.449095,PN_MCPE,KC_cluster_13
14,35,0.165715,PN_MCPE,KC_cluster_15
14,39,0.292420,PN_MCPE,KC_cluster_19
14,41,0.241584,PN_MCPE,KC_cluster_21
14,47,0.519213,PN_MCPE,KC_cluster_27
14,48,0.757142,PN_MCPE,KC_cluster_28
14,53,0.164843,PN_MCPE,KC_cluster_33
14,56,0.377448,PN_MCPE,KC_cluster_36
14,66,0.329355,PN_MCPE,KC_cluster_46
14,68,0.262100,PN_MCPE,KC_cluster_48
14,69,0.141508,PN_MCPE,KC_cluster_49
14,73,0.181421,PN_MCPE,MBON_alpha3
14,74,-0.181421,PN_MCPE,MBON_gamma5beta2a
15,30,0.214019,PN_MPS,KC_cluster_10
15,33,0.309590,PN_MPS,KC_cluster_13
15,39,0.144154,PN_MPS,KC_cluster_19
15,48,0.097631,PN_MPS,KC_cluster_28
15,54,0.296578,PN_MPS,KC_cluster_34
15,62,0.099630,PN_MPS,KC_cluster_42
15,73,0.216152,PN_MPS,MBON_alpha3
15,74,-0.216152,PN_MPS,MBON_gamma5beta2a
16,21,0.598170,PN_TWRS,KC_cluster_1
16,23,0.340397,PN_TWRS,KC_cluster_3
16,29,0.255674,PN_TWRS,KC_cluster_9
16,35,0.364431,PN_TWRS,KC_cluster_15
16,36,0.198762,PN_TWRS,KC_cluster_16
16,38,0.216807,PN_TWRS,KC_cluster_18
16,41,0.095664,PN_TWRS,KC_cluster_21
16,55,0.230422,PN_TWRS,KC_cluster_35
16,56,0.142520,PN_TWRS,KC_cluster_36
16,62,0.113115,PN_TWRS,KC_cluster_42
16,63,0.305949,PN_TWRS,KC_cluster_43
16,69,0.262174,PN_TWRS,KC_cluster_49
16,73,0.259238,PN_TWRS,MBON_alpha3
16,74,-0.259238,PN_TWRS,MBON_gamma5beta2a
17,20,0.109154,PN_DSKD,KC_cluster_0
17,22,0.271429,PN_DSKD,KC_cluster_2
17,23,0.233994,PN_DSKD,KC_cluster_3
17,29,0.305799,PN_DSKD,KC_cluster_9
17,33,0.439654,PN_DSKD,KC_cluster_13
17,38,0.208853,PN_DSKD,KC_cluster_18
17,40,0.244354,PN_DSKD,KC_cluster_20
17,54,0.200179,PN_DSKD,KC_cluster_34
17,56,0.161245,PN_DSKD,KC_cluster_36
17,57,0.341890,PN_DSKD,KC_cluster_37
17,66,0.272079,PN_DSKD,KC_cluster_46
17,73,0.226095,PN_DSKD,MBON_alpha3
17,74,-0.226095,PN_DSKD,MBON_gamma5beta2a
18,23,0.166868,PN_NIV,KC_cluster_3
18,41,0.211661,PN_NIV,KC_cluster_21
18,44,0.158483,PN_NIV,KC_cluster_24
18,55,0.323063,PN_NIV,KC_cluster_35
18,64,0.046893,PN_NIV,KC_cluster_44
18,66,0.509318,PN_NIV,KC_cluster_46
18,67,0.192992,PN_NIV,KC_cluster_47
18,73,0.331277,PN_NIV,MBON_alpha3
18,74,-0.331277,PN_NIV,MBON_gamma5beta2a
19,38,0.170545,PN_SMD,KC_cluster_18
19,46,0.399248,PN_SMD,KC_cluster_26
19,47,0.386416,PN_SMD,KC_cluster_27
19,55,0.260742,PN_SMD,KC_cluster_35
19,58,0.214868,PN_SMD,KC_cluster_38
19,59,0.230698,PN_SMD,KC_cluster_39
19,73,0.241793,PN_SMD,MBON_alpha3
19,74,-0.241793,PN_SMD,MBON_gamma5beta2a
20,41,-0.088231,KC_cluster_0,KC_cluster_21
20,56,-0.034929,KC_cluster_0,KC_cluster_36
20,66,-0.093430,KC_cluster_0,KC_cluster_46
21,36,-0.025319,KC_cluster_1,KC_cluster_16
21,64,-0.042166,KC_cluster_1,KC_cluster_44
21,73,0.273374,KC_cluster_1,MBON_alpha3
21,76,0.072300,KC_cluster_1,MBON_alpha2
22,37,-0.099373,KC_cluster_2,KC_cluster_17
22,74,0.360813,KC_cluster_2,MBON_gamma5beta2a
23,58,-0.132768,KC_cluster_3,KC_cluster_38
24,76,0.136062,KC_cluster_4,MBON_alpha2
25,28,-0.116450,KC_cluster_5,KC_cluster_8
25,42,-0.052197,KC_cluster_5,KC_cluster_22
25,73,0.157990,KC_cluster_5,MBON_alpha3
26,38,-0.067114,KC_cluster_6,KC_cluster_18
26,44,-0.020603,KC_cluster_6,KC_cluster_24
27,76,0.099530,KC_cluster_7,MBON_alpha2
28,43,-0.085455,KC_cluster_8,KC_cluster_23
28,74,0.666011,KC_cluster_8,MBON_gamma5beta2a
29,35,-0.059858,KC_cluster_9,KC_cluster_15
29,74,1.000000,KC_cluster_9,MBON_gamma5beta2a
29,76,0.140470,KC_cluster_9,MBON_alpha2
30,63,-0.040146,KC_cluster_10,KC_cluster_43
30,74,0.253384,KC_cluster_10,MBON_gamma5beta2a
30,76,0.156033,KC_cluster_10,MBON_alpha2
31,22,-0.087983,KC_cluster_11,KC_cluster_2
31,62,-0.097879,KC_cluster_11,KC_cluster_42
31,74,0.212238,KC_cluster_11,MBON_gamma5beta2a
32,76,0.275109,KC_cluster_12,MBON_alpha2
33,39,-0.084920,KC_cluster_13,KC_cluster_19
33,74,0.143411,KC_cluster_13,MBON_gamma5beta2a
33,75,0.128942,KC_cluster_13,MBON_beta2beta2a
33,76,0.074460,KC_cluster_13,MBON_alpha2
34,73,0.324357,KC_cluster_14,MBON_alpha3
34,74,0.344245,KC_cluster_14,MBON_gamma5beta2a
35,73,0.319250,KC_cluster_15,MBON_alpha3
35,74,0.171401,KC_cluster_15,MBON_gamma5beta2a
36,24,-0.065213,KC_cluster_16,KC_cluster_4
36,30,-0.022232,KC_cluster_16,KC_cluster_10
36,73,0.525265,KC_cluster_16,MBON_alpha3
36,74,0.270543,KC_cluster_16,MBON_gamma5beta2a
37,73,0.604244,KC_cluster_17,MBON_alpha3
37,74,0.209224,KC_cluster_17,MBON_gamma5beta2a
37,76,0.146678,KC_cluster_17,MBON_alpha2
38,73,0.402023,KC_cluster_18,MBON_alpha3
38,75,0.169338,KC_cluster_18,MBON_beta2beta2a
39,42,-0.049611,KC_cluster_19,KC_cluster_22
39,74,0.352532,KC_cluster_19,MBON_gamma5beta2a
40,67,-0.100184,KC_cluster_20,KC_cluster_47
40,73,0.078687,KC_cluster_20,MBON_alpha3
40,74,0.164292,KC_cluster_20,MBON_gamma5beta2a
41,74,0.083694,KC_cluster_21,MBON_gamma5beta2a
42,31,-0.073841,KC_cluster_22,KC_cluster_11
42,63,-0.127639,KC_cluster_22,KC_cluster_43
42,74,0.209983,KC_cluster_22,MBON_gamma5beta2a
43,54,-0.093136,KC_cluster_23,KC_cluster_34
43,73,0.095475,KC_cluster_23,MBON_alpha3
44,31,-0.074042,KC_cluster_24,KC_cluster_11
44,75,0.075972,KC_cluster_24,MBON_beta2beta2a
45,76,0.372589,KC_cluster_25,MBON_alpha2
46,42,-0.115277,KC_cluster_26,KC_cluster_22
46,69,-0.124137,KC_cluster_26,KC_cluster_49
46,74,0.299048,KC_cluster_26,MBON_gamma5beta2a
46,76,0.111940,KC_cluster_26,MBON_alpha2
47,48,-0.105903,KC_cluster_27,KC_cluster_28
47,75,0.204008,KC_cluster_27,MBON_beta2beta2a
47,76,0.172917,KC_cluster_27,MBON_alpha2
48,73,0.045713,KC_cluster_28,MBON_alpha3
49,76,0.230078,KC_cluster_29,MBON_alpha2
50,75,0.144930,KC_cluster_30,MBON_beta2beta2a
50,76,0.264818,KC_cluster_30,MBON_alpha2
51,73,0.416347,KC_cluster_31,MBON_alpha3
51,74,0.545479,KC_cluster_31,MBON_gamma5beta2a
52,36,-0.059139,KC_cluster_32,KC_cluster_16
52,74,0.393885,KC_cluster_32,MBON_gamma5beta2a
53,28,-0.035545,KC_cluster_33,KC_cluster_8
53,57,-0.031959,KC_cluster_33,KC_cluster_37
53,73,0.312504,KC_cluster_33,MBON_alpha3
53,74,0.287906,KC_cluster_33,MBON_gamma5beta2a
54,73,0.131627,KC_cluster_34,MBON_alpha3
54,75,0.283620,KC_cluster_34,MBON_beta2beta2a
55,65,-0.050552,KC_cluster_35,KC_cluster_45
55,74,0.105473,KC_cluster_35,MBON_gamma5beta2a
56,36,-0.128812,KC_cluster_36,KC_cluster_16
56,58,-0.035593,KC_cluster_36,KC_cluster_38
56,73,0.293783,KC_cluster_36,MBON_alpha3
56,76,0.230139,KC_cluster_36,MBON_alpha2
57,74,0.613442,KC_cluster_37,MBON_gamma5beta2a
57,76,0.135778,KC_cluster_37,MBON_alpha2
58,73,0.130915,KC_cluster_38,MBON_alpha3
59,56,-0.099509,KC_cluster_39,KC_cluster_36
60,76,0.159174,KC_cluster_40,MBON_alpha2
61,73,0.365158,KC_cluster_41,MBON_alpha3
61,76,0.054973,KC_cluster_41,MBON_alpha2
62,73,0.424892,KC_cluster_42,MBON_alpha3
62,74,0.251571,KC_cluster_42,MBON_gamma5beta2a
63,73,0.311276,KC_cluster_43,MBON_alpha3
63,74,0.259497,KC_cluster_43,MBON_gamma5beta2a
63,75,0.107274,KC_cluster_43,MBON_beta2beta2a
64,43,-0.086798,KC_cluster_44,KC_cluster_23
64,58,-0.098776,KC_cluster_44,KC_cluster_38
64,74,0.269004,KC_cluster_44,MBON_gamma5beta2a
65,74,0.085104,KC_cluster_45,MBON_gamma5beta2a
66,76,0.205967,KC_cluster_46,MBON_alpha2
67,73,0.220695,KC_cluster_47,MBON_alpha3
67,76,0.124152,KC_cluster_47,MBON_alpha2
68,50,-0.089490,KC_cluster_48,KC_cluster_30
68,73,0.498973,KC_cluster_48,MBON_alpha3
68,76,0.127901,KC_cluster_48,MBON_alpha2
69,74,0.191939,KC_cluster_49,MBON_gamma5beta2a
69,76,0.096742,KC_cluster_49,MBON_alpha2
70,73,0.441957,DAN_PAM,MBON_alpha3
70,74,-0.134509,DAN_PAM,MBON_gamma5beta2a
70,76,0.211371,DAN_PAM,MBON_alpha2
71,73,-0.172940,DAN_PPL1,MBON_alpha3
71,74,0.441957,DAN_PPL1,MBON_gamma5beta2a
71,76,0.096078,DAN_PPL1,MBON_alpha2
72,73,-0.211371,OA_VUM,MBON_alpha3
72,74,-0.211371,OA_VUM,MBON_gamma5beta2a
72,75,0.499603,OA_VUM,MBON_beta2beta2a
72,76,-0.153724,OA_VUM,MBON_alpha2
73,77,0.480388,MBON_alpha3,LH_approach
73,78,-0.172940,MBON_alpha3,LH_avoid
74,77,-0.172940,MBON_gamma5beta2a,LH_approach
74,78,0.480388,MBON_gamma5beta2a,LH_avoid
75,77,-0.115293,MBON_beta2beta2a,LH_approach
75,78,-0.115293,MBON_beta2beta2a,LH_avoid
75,79,0.307448,MBON_beta2beta2a,LH_neutral
76,77,0.096078,MBON_alpha2,LH_approach
76,78,0.096078,MBON_alpha2,LH_avoid
77,78,-0.153724,LH_approach,LH_avoid
77,79,-0.057647,LH_approach,LH_neutral
78,77,-0.153724,LH_avoid,LH_approach
78,79,-0.057647,LH_avoid,LH_neutral
